Designation/Identification,Obstacle Type,Obstacle Position,Elevation AMSL,Height AGL,Obstacle Lighting,Revision Date,Remarks,Southern,Northern,Scotland,Sheet 1,Sheet 2,Sheet 3,Sheet 4,Sheet 5,Sheet 6,Sheet 7,Sheet 8,London Heli,Orkneys Inset,Shetland Inset
UK29308256F,"ROTATING CRANE, INDUSTRIAL
Single","522907.00N
0015506.00W",834 FT,404 FT,Unknown,1/8/2022,,Yes,,,,,,,Yes,Yes,,Yes,,,
UK29306494F,"ROTATING CRANE, INDUSTRIAL
Multi","532855.00N
0021556.00W",521 FT,410 FT,Yes,14/7/2022,crane,,Yes,,,,,,Yes,Yes,,,,,
UK29306514F,"ROTATING CRANE, INDUSTRIAL
Multi","522850.73N
0015425.02W",980 FT,525 FT,Unknown,15/7/2022,crane,Yes,,,,,,,Yes,Yes,,Yes,,,
UK28985854F,"BUILDING,GENERAL(ALL TYPES)
Single","532436.17N
0025954.96W",389 FT,379 FT,No,11/5/2022,BUILDING,,Yes,,,,,,Yes,,,,,,
UK0171A065F,"SMOKESTACK, GENERAL
Single","523346.18N
0000952.95W",355 FT,345 FT,No,29/10/2020,CA02 WHITTLESEY OS,Yes,,,,,,,,Yes,,Yes,,,
UK0171A079F,"RADIO/TV TOWER, TYPE I
Single","523806.14N
0004325.52E",552 FT,360 FT,Yes,24/1/2023,,Yes,,,,,,,,Yes,,Yes,,,
UK0171A003F,"RADIO/TV TOWER, TYPE I
Single","520015.56N
0004709.07E",785 FT,550 FT,Yes,6/8/2021,RTM SUDBURY MAST,Yes,,,,,,,,Yes,,Yes,,,
UK0171A011F,"MICROWAVE TOWER, TYPE I (HAS REFLECTOR/CONE)
Single","520402.64N
0040435.58W",1682 FT,334 FT,No,26/9/2013,"CARDIGAN BAY,DYFED L7",Yes,,,,,,,Yes,,Yes,,,,
UK0171A015F,"RADIO/TV TOWER, TYPE I
Single","520626.87N
0013440.64E",351 FT,350 FT,No,11/10/2019,SU09 ORFORDNESS,Yes,,,,,,,,Yes,,Yes,,,
UK0171A030F,"RADIO/TV TOWER, TYPE I
Single","521509.94N
0010823.68W",1021 FT,371 FT,No,17/10/2022,Stayed Mast,Yes,,,,,,,Yes,Yes,,Yes,,,
UK0171A040F,"RADIO/TV TOWER, TYPE I
Single","522138.45N
0040609.24W",1144 FT,561 FT,Yes,6/8/2021,RTM BLAENPLWYF MAST,Yes,,,,,,,Yes,,,,,,
UK0171A129F,"SMOKESTACK, GENERAL
Single","530234.06N
0015226.78W",1099 FT,348 FT,No,18/5/2021,ST09 CAULDON,Yes,Yes,,,,,,Yes,Yes,,,,,
UK0171A146F,"RADIO/TV TOWER, TYPE I
Single","531315.84N
0031852.00W",1893 FT,784 FT,Yes,6/8/2021,RTM MOEL-Y-PARC MAST,Yes,Yes,,,,,,Yes,,,,,,
UK0171A163F,"SMOKESTACK, GENERAL
Single","531759.95N
0043618.63W",426 FT,403 FT,No,2/3/2023,,Yes,Yes,,,,,,Yes,,,,,,
UK0171A169F,"SMOKESTACK, GENERAL
Single","532019.47N
0014514.05W",1054 FT,435 FT,No,11/10/2019,DB02 HOPE OS,Yes,Yes,,,,,,Yes,Yes,,,,,
UK0171A176F,"SMOKESTACK, GENERAL
Single","532222.28N
0024108.90W",653 FT,613 FT,Unknown,25/6/2020,Chimney,Yes,Yes,,,,,,Yes,Yes,,,,,
UK0171A180F,"HOUSE OF RELIGIOUS WORSHIP (CHURCH,MOSQUE,SYNAGOGUE,TEMPLE)
Single","532351.65N
0025823.48W",476 FT,331 FT,Unknown,23/6/2020,Church,,Yes,,,,,,Yes,,,,,,
UK0171A208F,"RADIO/TV TOWER, TYPE I
Single","531825.36N
0040741.71W",849 FT,380 FT,Yes,19/1/2021,GD01 LLANDDONA (1),Yes,Yes,,,,,,Yes,,,,,,
UK0171A209F,"SMOKESTACK, GENERAL
Single","531816.91N
0004653.69W",669 FT,653 FT,Yes,2/6/2021,,Yes,Yes,,,,,,Yes,Yes,,,,,
UK0171A231F,"SMOKESTACK, GENERAL
Single","533457.33N
0000614.67W",360 FT,350 FT,Yes,11/10/2019,HU31 GRIMSBY 2 RAF BK OS,,Yes,,,,,,,Yes,,,,,
UK0171W457F,"RADIO/TV TOWER, TYPE I
Single","523107.68N
0010819.20E",887 FT,679 FT,Yes,6/8/2021,RTM TACOLNESTON MAST,Yes,,,,,,,,Yes,,Yes,,,
UK0171A246F,"RADIO/TV TOWER, TYPE I
Single","533805.37N
0015338.15W",1640 FT,518 FT,Yes,6/8/2021,RTM MOORSIDE EDGE MAST,,Yes,,,,,,Yes,Yes,,,,,
UK0171A252F,"POWERLINE PYLON, GENERAL
Single","534008.09N
0004133.20W",382 FT,379 FT,No,2/6/2021,,,Yes,,,,,,,Yes,,,,,
UK0171A266F,"SUPERSTRUCTURE - TOWER SUSPENSION
Single","534251.41N
0002702.24W",533 FT,533 FT,Yes,24/6/2020,HU17 HUMBER BRIDGE N.OS,,Yes,,,,,,,Yes,,,,,
UK0171A281F,"SMOKESTACK, GENERAL
Single","534548.51N
0001957.04W",465 FT,463 FT,No,11/10/2019,HU02 KINGSTON HULL 2,,Yes,,,,,,,Yes,,,,,
UK0171A423F,"OFFSHORE PLATFORM WITH DERRICK
Single","525956.15N
0015044.97E",135 FT,135 FT,Unknown,9/1/2023,52/5 Hewett A Platform / Small Steel,Yes,,,,,,,,Yes,,,,,
UK0171A424F,"OFFSHORE PLATFORM WITH DERRICK
Single","530031.56N
0021103.50E",151 FT,151 FT,Unknown,9/1/2023,49/26 Leman D Platform / Small Steel,Yes,,,,,,,,,,,,,
UK0171A429F,"OFFSHORE PLATFORM WITH DERRICK
Single","530301.14N
0021700.83E",105 FT,105 FT,Unknown,9/1/2023,49/27 Leman BD Platform / Small Steel,Yes,,,,,,,,,,,,,
UK0171A430F,"OFFSHORE PLATFORM WITH DERRICK
Single","530314.15N
0014103.96E",135 FT,135 FT,Unknown,9/1/2023,48/29 Hewett B Platform / Small Steel,Yes,,,,,,,,Yes,,,,,
UK0171A431F,"OFFSHORE PLATFORM WITH DERRICK
Single","530314.93N
0021401.26E",207 FT,207 FT,Unknown,9/1/2023,49/27 Leman AC Platform / Small Steel,Yes,,,,,,,,,,,,,
UK0171A432F,"OFFSHORE PLATFORM WITH DERRICK
Single","530336.42N
0021234.62E",112 FT,112 FT,Unknown,9/1/2023,49/27 Leman ED Platform / Small Steel,Yes,,,,,,,,,,,,,
UK0171A436F,"OFFSHORE PLATFORM WITH DERRICK
Single","530547.17N
0020943.08E",128 FT,128 FT,Unknown,9/1/2023,49/26 Leman CP Platform / Small Steel,Yes,,,,,,,,,,,,,
UK0171A437F,"OFFSHORE PLATFORM WITH DERRICK
Single","530549.15N
0014551.96E",131 FT,131 FT,Unknown,9/1/2023,48/29 Hewett C Platform / Small Steel,Yes,,,,,,,,Yes,,,,,
UK0171A443F,"OFFSHORE PLATFORM WITH DERRICK
Single","532143.99N
0023403.19E",125 FT,125 FT,Unknown,9/1/2023,49/18A Indefatigable AD Platform / Small Steel,,,,,,,,,,,,,,
UK0171A292F,"SMOKESTACK, GENERAL
Single","535319.90N
0022305.70W",608 FT,340 FT,No,12/12/2013,LA06 CLITHEROE OS,,Yes,,,,,,Yes,Yes,,,,,
UK0171A453F,"OFFSHORE PLATFORM WITH DERRICK
Single","534306.84N
0010704.12E",184 FT,184 FT,Unknown,9/1/2023,48/6 West Sole B Platform / Small Steel,,,,,,,,,,,,,,
UK0171A454F,"OFFSHORE PLATFORM WITH DERRICK
Single","534509.22N
0010445.45E",190 FT,190 FT,Unknown,9/1/2023,48/6 West Sole C Platform / Small Steel,,,,,,,,,,,,,,
UK0171A455F,"OFFSHORE PLATFORM WITH DERRICK
Single","534928.08N
0002811.05E",121 FT,121 FT,Unknown,9/1/2023,47/8 Rough AD Platform / Small Steel,,Yes,,,,,,,Yes,,,,,
UK0171A458F,"OFFSHORE PLATFORM WITH DERRICK
Single","530102.15N
0014739.97E",236 FT,236 FT,Unknown,9/1/2023,48/29A Hewett Process Platform / Small Steel,Yes,,,,,,,,Yes,,,,,
UK0171A472F,"SMOKESTACK, GENERAL
Single","532643.07N
0024421.19W",466 FT,358 FT,No,7/7/2021,,,Yes,,,,,,Yes,Yes,,,,,
UK0171A523F,"BUILDING,GENERAL(ALL TYPES)
Single","522842.57N
0015422.61W",771 FT,328 FT,Unknown,23/6/2020,High Rise Building,Yes,,,,,,,Yes,Yes,,Yes,,,
UK0171A764F,"OFFSHORE PLATFORM WITH DERRICK
Single","530014.45N
0021249.44E",174 FT,174 FT,Unknown,9/1/2023,49/27 Leman H Platform / Small Steel,Yes,,,,,,,,,,,,,
UK0171A654F,"SMOKESTACK, GENERAL
Single","531635.31N
0025051.12W",414 FT,407 FT,No,1/7/2021,,Yes,Yes,,,,,,Yes,Yes,,,,,
UK0171A659F,"OFFSHORE PLATFORM WITH DERRICK
Single","535044.38N
0033500.49W",381 FT,381 FT,Unknown,9/1/2023,110/3a South Morcambe Accommodation Platform / Small Steel,,Yes,,,,,,Yes,,,,,,
UK0171A672F,"OFFSHORE PLATFORM WITH DERRICK
Single","530307.26N
0021112.79E",210 FT,210 FT,Unknown,9/1/2023,49/26 Leman E Platform / Small Steel,Yes,,,,,,,,,,,,,
UK0171A673F,"OFFSHORE PLATFORM WITH DERRICK
Single","535001.58N
0002629.55E",279 FT,279 FT,Unknown,9/1/2023,47/3 Rough BP Platform / Small Steel,,Yes,,,,,,,Yes,,,,,
UK0171A877F,"OFFSHORE PLATFORM WITH DERRICK
Single","531331.41N
0024934.33E",266 FT,266 FT,Unknown,9/1/2023,49/25a Sean RD Platform / Small Steel,,,,,,,,,,,,,,
UK0171A878F,"OFFSHORE PLATFORM WITH DERRICK
Single","531118.21N
0025136.74E",305 FT,305 FT,Unknown,9/1/2023,49/25a Sean PP Platform / Small Steel,,,,,,,,,,,,,,
UK0171A998F,"OFFSHORE PLATFORM WITH DERRICK
Single","530702.27N
0020611.48E",177 FT,177 FT,Unknown,9/1/2023,49/26 Leman G Platform / Small Steel,Yes,,,,,,,,,,,,,
UK0171A999F,"OFFSHORE PLATFORM WITH DERRICK
Single","530212.21N
0022249.17E",171 FT,171 FT,Unknown,9/1/2023,49/27 Leman G Platform / Small Steel,Yes,,,,,,,,,,,,,
UK0171B575F,"OFFSHORE PLATFORM WITH DERRICK
Single","531903.28N
0020539.84E",118 FT,118 FT,Unknown,9/1/2023,49/21 South Valiant TD Platform / Small Steel,Yes,,,,,,,,,,,,,
UK0171C090F,"OFFSHORE PLATFORM WITH DERRICK
Single","535327.76N
0033727.80W",269 FT,269 FT,Unknown,9/1/2023,110/2a South Morcambe Drilling Platform 8 / Small Steel,,Yes,,,,,,Yes,,,,,,
UK0171C094F,"OFFSHORE PLATFORM WITH DERRICK
Single","531806.21N
0022955.09E",180 FT,180 FT,Unknown,9/1/2023,49/23 Indefatigable D Platform / Small Steel,,,,,,,,,,,,,,
UK0171C120F,"OFFSHORE PLATFORM WITH DERRICK
Single","533721.02N
0004720.69E",151 FT,151 FT,Unknown,9/1/2023,47/14 Amethyst A2D Platform / Small Steel,,Yes,,,,,,,Yes,,,,,
UK0171C272F,"RADIO/TV TOWER, TYPE A
Single","524328.61N
0005824.83E",526 FT,383 FT,No,8/6/2021,"SWANTON MORLEY,  L5",Yes,,,,,,,,Yes,,Yes,,,
UK0171C343F,"OFFSHORE PLATFORM WITH DERRICK
Single","533339.67N
0005238.22E",118 FT,118 FT,Unknown,9/12/2021,47/14 Amethyst B1D Platform / Small Steel,,Yes,,,,,,,Yes,,,,,
UK0171C350F,"RADIO/TV TOWER, TYPE I
Single","531838.51N
0001547.66E",446 FT,443 FT,Yes,11/10/2019,TRUSTHORPE (3).BT.  L11,Yes,Yes,,,,,,,Yes,,,,,
UK0171D040F,"OFFSHORE PLATFORM
Single","533401.95N
0013756.33E",171 FT,171 FT,Unknown,9/1/2023,48/14 Barque PL Platform / Small Steel,,,,,,,,,,,,,,
UK0171C400F,"OFFSHORE PLATFORM WITH DERRICK
Single","532433.63N
0012226.09E",167 FT,167 FT,Unknown,9/1/2023,48/17a Lancelot Platform / Small Steel,,,,,,,,,,,,,,
UK0171C452F,"OFFSHORE PLATFORM WITH DERRICK
Single","535734.89N
0034020.72W",249 FT,249 FT,Unknown,9/1/2023,110/2a North Morcambe Drilling Production Platform / Small Steel,,Yes,,,,,,Yes,,,,,,
UK0171C479F,"OFFSHORE PLATFORM WITH DERRICK
Single","534823.61N
0010138.00E",174 FT,174 FT,Unknown,9/1/2023,48/6 Hyde Platform / Small Steel,,Yes,,,,,,,,,,,,
UK0171D917F,"OFFSHORE PLATFORM WITH DERRICK
Single","531352.25N
0023716.85E",164 FT,164 FT,Yes,28/10/2020,CORVETTE,,,,,,,,,,,,,,
UK0171C926F,"OFFSHORE PLATFORM WITH DERRICK
Single","531150.60N
0022904.61E",144 FT,144 FT,Unknown,9/1/2023,49/23 Bessemer Platform / Small Steel,,,,,,,,,,,,,,
UK0171C928F,"OFFSHORE PLATFORM WITH DERRICK
Single","533357.50N
0032716.20W",118 FT,118 FT,Unknown,9/1/2023,110/13 Hamilton A Platform / Small Steel,,Yes,,,,,,Yes,,,,,,
UK0171C930F,"OFFSHORE PLATFORM WITH DERRICK
Single","533846.94N
0032841.13W",118 FT,118 FT,Unknown,9/1/2023,110/13 Hamilton North Platform / Small Steel,,Yes,,,,,,Yes,,,,,,
UK0171C931F,"OFFSHORE PLATFORM WITH DERRICK
Single","534057.87N
0033246.38W",121 FT,121 FT,Unknown,9/1/2023,110/8a Douglas Oil Storage Installation / Floating Storage and Offloading,,Yes,,,,,,Yes,,,,,,
UK0171C725F,"SMOKESTACK, GENERAL
Single","532209.97N
0024115.11W",429 FT,393 FT,No,1/7/2021,,Yes,Yes,,,,,,Yes,Yes,,,,,
UK0171D402F,"OFFSHORE PLATFORM WITH DERRICK
Single","533245.57N
0012133.16E",138 FT,138 FT,Unknown,9/1/2023,48/12a Galahad Platform / Small Steel,,,,,,,,,,,,,,
UK0171D410F,"SMOKESTACK, GENERAL
Single","522656.66N
0004321.58E",397 FT,361 FT,Yes,22/9/2021,CHIMNEY,Yes,,,,,,,,Yes,,Yes,,,
UK0171E738F,"RADIO/TV TOWER, TYPE I
Single","532509.58N
0025549.06W",497 FT,359 FT,No,1/7/2021,,,Yes,,,,,,Yes,Yes,,,,,
UK0171D705F,"OFFSHORE PLATFORM
Single","530459.42N
0023248.40E",296 FT,296 FT,Yes,17/12/2013,THAMES,,,,,,,,,,,,,,
UK0171D706F,"OFFSHORE PLATFORM WITH DERRICK
Single","532108.54N
0011810.58E",102 FT,102 FT,Unknown,9/1/2023,48/17c Waveney Platform / Small Steel,Yes,,,,,,,,,,,,,
UK0171D709F,"OFFSHORE PLATFORM WITH DERRICK
Single","533234.80N
0011434.80E",305 FT,305 FT,Yes,28/10/2020,MALORY,,,,,,,,,,,,,,
UK0171D067F,"POWERLINE PYLON, GENERAL
Single","534001.86N
0004136.35W",347 FT,344 FT,No,2/6/2021,,,Yes,,,,,,,Yes,,,,,
UK0171F132F,"RADIO/TV TOWER, TYPE A
Single","525125.56N
0012744.70E",505 FT,446 FT,Unknown,10/2/2017,"BACTON,NORFOLK L5",Yes,,,,,,,,Yes,,,,,
UK0171C525F,"BRIDGE CRANE, INDUSTRIAL
Multi","533816.98N
0001147.26W",330 FT,330 FT,Unknown,17/9/2021,IMMINGHAM docks,,Yes,,,,,,,Yes,,,,,
UK0171E019F,"OFFSHORE PLATFORM
Single","531449.45N
0021744.59E",164 FT,164 FT,Yes,17/12/2013,ROSS,Yes,,,,,,,,,,,,,
UK0171D919F,"OFFSHORE PLATFORM WITH DERRICK
Single","535031.99N
0025203.82E",328 FT,328 FT,Yes,17/12/2013,MARKHAM,,,,,,,,,,,,,,
UK0171C246F,"BUILDING,GENERAL(ALL TYPES)
Single","532848.93N
0021418.36W",553 FT,404 FT,Unknown,23/6/2020,Building,,Yes,,,,,,Yes,Yes,,,,,
UK0171C210F,"OFFSHORE PLATFORM WITH DERRICK
Single","533644.72N
0013130.86E",358 FT,358 FT,Unknown,9/1/2023,48/13 Barque PB Platform / Small Steel,,,,,,,,,,,,,,
UK0171C211F,"OFFSHORE PLATFORM WITH DERRICK
Single","532731.55N
0014355.29E",341 FT,341 FT,Unknown,9/1/2023,48/19a Clipper Compression Platform / Small Steel,,,,,,,,,,,,,,
UK0171C691F,"OFFSHORE PLATFORM WITH DERRICK
Single","532751.48N
0012035.38E",194 FT,194 FT,Unknown,9/1/2023,48/17a Excalibur A Platform / Small Steel,,,,,,,,,,,,,,
UK30177299F,"ROTATING CRANE, INDUSTRIAL
Single","532551.00N
0012135.00W",432 FT,348 FT,Yes,9/1/2023,,,Yes,,,,,,Yes,Yes,,,,,
UK28577786F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","532556.62N
0005155.25E",614 FT,614 FT,Yes,10/1/2023,,,Yes,,,,,,,Yes,,,,,
UK28577787F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","532544.43N
0005233.00E",614 FT,614 FT,Yes,10/1/2023,,,Yes,,,,,,,Yes,,,,,
UK28577788F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","532520.05N
0005348.44E",614 FT,614 FT,Yes,10/1/2023,,,Yes,,,,,,,Yes,,,,,
UK18581745F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED ON LAND
Single","522743.98N
0000714.53W",413 FT,413 FT,No,2/4/2019,,Yes,,,,,,,,Yes,,Yes,,,
UK18609997F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED ON LAND
Single","523750.12N
0004402.37E",586 FT,410 FT,Unknown,3/4/2019,N. PICKENHAM W/F 2OF2,Yes,,,,,,,,Yes,,Yes,,,
UK18609996F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED ON LAND
Single","523735.72N
0004357.13E",594 FT,410 FT,Unknown,3/4/2019,N. PICKENHAM W/F 1OF2,Yes,,,,,,,,Yes,,Yes,,,
UK18609475F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED ON LAND
Single","521043.96N
0011637.52W",726 FT,335 FT,Yes,4/3/2020,BODDINGTON W/TURBINE,Yes,,,,,,,Yes,Yes,Yes,Yes,,,
UK18581848F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED ON LAND
Single","530705.04N
0005135.62W",499 FT,335 FT,Unknown,19/12/2019,DEAN HALL FARM W/T,Yes,Yes,,,,,,Yes,Yes,,,,,
UK18581684F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","530957.01N
0010638.53E",427 FT,427 FT,Unknown,10/1/2023,,Yes,,,,,,,,Yes,,,,,
UK18581685F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","530930.88N
0010655.60E",427 FT,427 FT,Unknown,10/1/2023,,Yes,,,,,,,,Yes,,,,,
UK18581686F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","531014.31N
0010525.90E",427 FT,427 FT,Unknown,10/1/2023,,Yes,,,,,,,,Yes,,,,,
UK18581688F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","530948.36N
0010714.83E",427 FT,427 FT,Yes,10/1/2023,,Yes,,,,,,,,Yes,,,,,
UK18581689F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","530922.22N
0010731.90E",427 FT,427 FT,Unknown,10/1/2023,,Yes,,,,,,,,Yes,,,,,
UK18581690F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","530856.08N
0010748.96E",427 FT,427 FT,Unknown,10/1/2023,,Yes,,,,,,,,Yes,,,,,
UK18581692F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","530847.57N
0010957.05E",427 FT,427 FT,Unknown,10/1/2023,,Yes,,,,,,,,Yes,,,,,
UK18581693F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","530636.82N
0011122.15E",427 FT,427 FT,Unknown,10/1/2023,,Yes,,,,,,,,Yes,,,,,
UK18581694F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","530755.27N
0011031.11E",427 FT,427 FT,Unknown,10/1/2023,,Yes,,,,,,,,Yes,,,,,
UK0171T428F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED ON LAND
Single","535951.56N
0001622.74W",427 FT,410 FT,Unknown,5/1/2016,LISSETT  W/F 2OF12 L11,,Yes,,,,,,,Yes,,,,,
UK0171T427F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED ON LAND
Single","535946.23N
0001643.67W",427 FT,410 FT,Unknown,5/1/2016,LISSETT  W/F 1OF12 L11,,Yes,,,,,,,Yes,,,,,
UK0171T429F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED ON LAND
Single","535953.91N
0001650.60W",424 FT,410 FT,Unknown,5/1/2016,LISSETT  W/F 3OF12 L11,,Yes,,,,,,,Yes,,,,,
UK18581983F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","530930.68N
0010523.77E",427 FT,427 FT,Yes,10/1/2023,,Yes,,,,,,,,Yes,,,,,
UK18581984F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","530922.04N
0010600.07E",427 FT,427 FT,Unknown,10/1/2023,,Yes,,,,,,,,Yes,,,,,
UK18581985F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","530803.62N
0010651.28E",427 FT,427 FT,Unknown,10/1/2023,,Yes,,,,,,,,Yes,,,,,
UK18581987F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","530645.49N
0011045.91E",427 FT,427 FT,Unknown,10/1/2023,,Yes,,,,,,,,Yes,,,,,
UK18581988F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED ON LAND
Single","523508.44N
0000830.51E",470 FT,463 FT,Unknown,6/5/2015,COLDHAM W/F 1 OF 7 L6,Yes,,,,,,,,Yes,,Yes,,,
UK18581989F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED ON LAND
Single","523517.16N
0000823.74E",470 FT,463 FT,Unknown,3/4/2019,COLDHAM W/F 2 OF 7 L6,Yes,,,,,,,,Yes,,Yes,,,
UK18581990F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED ON LAND
Single","523525.03N
0000817.23E",470 FT,463 FT,Unknown,3/4/2019,COLDHAM W/F 3 OF 7 L6,Yes,,,,,,,,Yes,,Yes,,,
UK18581994F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED ON LAND
Single","523543.31N
0000824.45E",470 FT,463 FT,Unknown,3/4/2019,COLDHAM W/F 7 OF 7 L6,Yes,,,,,,,,Yes,,Yes,,,
UK18581991F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED ON LAND
Single","523529.54N
0000809.48E",470 FT,463 FT,Unknown,6/5/2015,COLDHAM W/F 4 OF 7 L6,Yes,,,,,,,,Yes,,Yes,,,
UK18581992F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED ON LAND
Single","523529.01N
0000842.84E",470 FT,463 FT,Unknown,3/4/2019,COLDHAM W/F 5 OF 7 L6,Yes,,,,,,,,Yes,,Yes,,,
UK18581993F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED ON LAND
Single","523536.10N
0000831.07E",470 FT,463 FT,Unknown,3/4/2019,COLDHAM W/F 6 OF 7 L6,Yes,,,,,,,,Yes,,Yes,,,
UK18581998F,"AERIAL CABLE, AERIAL TRAMWAY OR POWER TRANSMISSION LINE
Single","533922.24N
0020456.13W",873 FT,348 FT,Unknown,27/8/2019,LITTLEBOROUGH S/C L8,,Yes,,,,,,Yes,Yes,,,,,
UK18608821F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED ON LAND
Single","521812.34N
0003124.31W",705 FT,410 FT,Unknown,3/4/2019,CHELVESTON W/F 1OF9,Yes,,,,,,,,Yes,,Yes,,,
UK18608822F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED ON LAND
Single","521822.64N
0003108.50W",695 FT,410 FT,Unknown,19/8/2013,CHELVESTON W/F 2OF9,Yes,,,,,,,,Yes,,Yes,,,
UK18608823F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED ON LAND
Single","521833.41N
0003052.83W",695 FT,410 FT,Unknown,19/8/2013,CHELVESTON W/F 3OF9,Yes,,,,,,,,Yes,,Yes,,,
UK18608824F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED ON LAND
Single","521844.54N
0003036.61W",689 FT,410 FT,Unknown,19/8/2013,CHELVESTON W/F 4OF9,Yes,,,,,,,,Yes,,Yes,,,
UK18608825F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED ON LAND
Single","521816.32N
0003149.37W",705 FT,410 FT,Unknown,19/8/2013,CHELVESTON W/F 5OF9,Yes,,,,,,,,Yes,,Yes,,,
UK18608826F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED ON LAND
Single","521834.33N
0003121.95W",702 FT,410 FT,Unknown,19/8/2013,CHELVESTON W/F 6OF9,Yes,,,,,,,,Yes,,Yes,,,
UK18608827F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED ON LAND
Single","521845.24N
0003124.91W",695 FT,410 FT,Unknown,19/8/2013,CHELVESTON W/F 7OF9,Yes,,,,,,,,Yes,,Yes,,,
UK18608828F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED ON LAND
Single","521845.51N
0003107.63W",682 FT,410 FT,Unknown,19/8/2013,CHELVESTON W/F 8OF9,Yes,,,,,,,,Yes,,Yes,,,
UK18608829F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED ON LAND
Single","521837.32N
0003146.04W",702 FT,410 FT,Unknown,19/8/2013,CHELVESTON W/F 9OF9,Yes,,,,,,,,Yes,,Yes,,,
UK18582001F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED ON LAND
Single","534250.19N
0022233.10W",1486 FT,400 FT,Unknown,3/4/2019,HYNDBURN W/F 6 OF 12,,Yes,,,,,,Yes,Yes,,,,,
UK18637769F,"OFFSHORE PLATFORM WITH DERRICK
Single","534924.21N
0025637.99E",338 FT,338 FT,Unknown,24/6/2021,J6-A,,,,,,,,,,,,,,
UK18582030F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","530904.55N
0010540.85E",427 FT,427 FT,Unknown,10/1/2023,,Yes,,,,,,,,Yes,,,,,
UK18582031F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","530838.41N
0010557.92E",427 FT,427 FT,Yes,10/1/2023,,Yes,,,,,,,,Yes,,,,,
UK18582033F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","530746.13N
0010632.05E",427 FT,427 FT,Unknown,10/1/2023,,Yes,,,,,,,,Yes,,,,,
UK18582034F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","530948.17N
0010542.99E",427 FT,427 FT,Unknown,10/1/2023,,Yes,,,,,,,,Yes,,,,,
UK18582036F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","530829.75N
0010634.21E",427 FT,427 FT,Unknown,10/1/2023,,Yes,,,,,,,,Yes,,,,,
UK18582037F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","530711.33N
0010725.38E",427 FT,427 FT,Unknown,10/1/2023,,Yes,,,,,,,,Yes,,,,,
