Designation/Identification,Obstacle Type,Obstacle Position,Elevation AMSL,Height AGL,Obstacle Lighting,Revision Date,Remarks,Southern,Northern,Scotland,Sheet 1,Sheet 2,Sheet 3,Sheet 4,Sheet 5,Sheet 6,Sheet 7,Sheet 8,London Heli,Orkneys Inset,Shetland Inset
UK28016106F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED ON LAND
Single","573240.79N
0032301.05W",1385 FT,361 FT,Unknown,19/12/2018,KELLAS W/FARM 5OF8,,,Yes,,Yes,,,,,,,,,
UK28016107F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED ON LAND
Single","573242.62N
0032241.27W",1352 FT,361 FT,Unknown,19/12/2018,KELLAS W/FARM 6OF8,,,Yes,,Yes,,,,,,,,,
UK28016108F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED ON LAND
Single","573252.16N
0032227.19W",1263 FT,361 FT,Unknown,19/12/2018,KELLAS W/FARM 7OF8,,,Yes,,Yes,,,,,,,,,
UK28016110F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED ON LAND
Single","573259.45N
0032210.62W",1165 FT,361 FT,Unknown,19/12/2018,KELLAS W/FARM 8OF8,,,Yes,,Yes,,,,,,,,,
UK28076622F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","581307.03N
0025637.53W",614 FT,614 FT,Unknown,13/2/2019,BEATRICE W/F 13 OF 84,,,Yes,,Yes,,,,,,,,,
UK28076623F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","581344.34N
0025625.04W",614 FT,614 FT,Unknown,13/2/2019,BEATRICE W/F 14 OF 84,,,Yes,,Yes,,,,,,,,,
UK28076624F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","581421.55N
0025612.53W",614 FT,614 FT,Unknown,13/2/2019,BEATRICE W/F 15 OF 84,,,Yes,,Yes,,,,,,,,,
UK28076625F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","581242.72N
0025542.60W",614 FT,614 FT,Unknown,13/2/2019,BEATRICE W/F 23 OF 84,,,Yes,,Yes,,,,,,,,,
UK28076626F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","581319.99N
0025530.08W",600 FT,600 FT,Unknown,10/1/2023,,,,Yes,,Yes,,,,,,,,,
UK28076627F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","581357.25N
0025517.57W",614 FT,614 FT,Unknown,13/2/2019,BEATRICE W/F 25 OF 84,,,Yes,,Yes,,,,,,,,,
UK28076628F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","581434.49N
0025505.05W",614 FT,614 FT,Unknown,13/2/2019,BEATRICE W/F 26 OF 84,,,Yes,,Yes,,,,,,,,,
UK28076629F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","581511.76N
0025452.52W",614 FT,614 FT,Unknown,13/2/2019,BEATRICE W/F 27 OF 84,,,Yes,,Yes,,,,,,,,,
UK28076630F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","581549.01N
0025439.92W",614 FT,614 FT,Unknown,13/2/2019,BEATRICE W/F 28 OF 84,,,Yes,,Yes,,,,,,,,,
UK28076631F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","581332.84N
0025422.70W",614 FT,614 FT,Unknown,13/2/2019,BEATRICE W/F 35 OF 84,,,Yes,,Yes,,,,,,,,,
UK28076632F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","581410.08N
0025410.16W",614 FT,614 FT,Unknown,13/2/2019,BEATRICE W/F 36 OF 84,,,Yes,,Yes,,,,,,,,,
UK28076633F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","581513.12N
0025142.49W",600 FT,600 FT,Unknown,10/1/2023,,,,Yes,,Yes,,,,,,,,,
UK28074039F,"ROTATING CRANE, INDUSTRIAL
Single","555130.00N
0041548.00W",416 FT,390 FT,Unknown,4/2/2019,CRANE,,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,
UK28182225F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","581601.87N
0025332.38W",614 FT,614 FT,Unknown,30/4/2019,BEATRICE W/F 37 OF 84,,,Yes,,Yes,,,,,,,,,
UK28182226F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","581525.98N
0025035.10W",614 FT,614 FT,Unknown,30/4/2019,BEATRICE W/F 65 OF 84,,,Yes,,Yes,,,,,,,,,
UK28182227F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","581616.14N
0024914.79W",614 FT,614 FT,Unknown,30/4/2019,BEATRICE W/F 74 OF 84,,,Yes,,Yes,,,,,,,,,
UK28182228F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","581653.41N
0024902.15W",614 FT,614 FT,Unknown,30/4/2019,BEATRICE W/F 75 OF 84,,,Yes,,Yes,,,,,,,,,
UK28182229F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","581730.61N
0024849.50W",614 FT,614 FT,Unknown,30/4/2019,BEATRICE W/F 76 OF 84,,,Yes,,Yes,,,,,,,,,
UK28182230F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","581807.87N
0024836.84W",614 FT,614 FT,Unknown,30/4/2019,BEATRICE W/F 77 OF 84,,,Yes,,Yes,,,,,,,,,
UK28184249F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED ON LAND
Multi","571528.88N
0041430.61W",2625 FT,427 FT,Unknown,2/5/2019,ABERARDER W/FARM 9OF12,,,Yes,Yes,Yes,,,,,,,,,
UK28184308F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED ON LAND
Single","554145.25N
0035555.20W",981 FT,397 FT,Unknown,8/5/2019,LOCHHEAD E. W/F 2OF2,,Yes,Yes,,,Yes,Yes,,,,,,,
UK28184310F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED ON LAND
Single","554154.22N
0035621.60W",965 FT,397 FT,Unknown,8/5/2019,LOCHHEAD E. W/F1OF2,,Yes,Yes,,,Yes,Yes,,,,,,,
UK28273762F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","581450.65N
0024546.89W",640 FT,640 FT,Unknown,11/1/2023,,,,Yes,,Yes,,,,,,,,,
UK28273763F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","581036.58N
0024857.97W",640 FT,640 FT,Yes,11/1/2023,,,,Yes,,Yes,,,,,,,,,
UK28273764F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","581113.13N
0024857.89W",640 FT,640 FT,Yes,11/1/2023,,,,Yes,,Yes,,,,,,,,,
